,Name,CanonSmiles,logp,mw,tpsa,n_hba,n_hbd,ro5,pfizer_rule_passed,gsk_rule_passed,goldentriangle_rule_passed,qed,sascore,sascore,mce18,npscore,qed_passed,sascore_passed,fsp3_passed,mce18_passed,pains_Disposed,pains_MatchedAtoms,pains_MatchedNames,alarmnmr_Disposed,alarmnmr_MatchedAtoms,alarmnmr_MatchedNames,bms_Disposed,bms_MatchedAtoms,bms_MatchedNames,chelator_Disposed,chelator_MatchedAtoms,chelator_MatchedNames
21,Pyridoxal phosphate,Cc1ncc(COP(=O)(O)O)c(C=O)c1O.O,-0.30728,265.035138354,148.45,5,3,4,True,True,True,0.49897847884353547,3.0802121990140803,0.25,8.0,0.7959217244342823,False,True,False,False,Accepted,['-'],['-'],Rejected,"[((15, 14, 11, 4, 3, 2, 1),), ((11, 12, 13),)]","['c1ccccc1O', '[CH]=O']",Rejected,"[((11, 12, 13),)]",['aldehyde'],Accepted,['-'],['-']
24,Histidine,N[C@@H](Cc1c[nH]cn1)C(=O)O,-0.6359000000000001,155.069476528,92.00000000000001,3,3,5,True,True,False,0.5411944991131042,3.1918280226012046,0.3333333333333333,12.0,0.44557037280920003,False,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
26,Pyruvic acid,CC(=O)C(=O)O,-0.34000000000000014,88.016043988,54.370000000000005,2,1,5,True,True,False,0.4459283845851701,1.8416133885228483,0.3333333333333333,0.0,0.61204430055605,False,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Rejected,"[((1, 2, 3, 4),)]",['alpha_dicarbonyl'],Accepted,['-'],['-']
27,Phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O,0.641,165.078978592,63.32000000000001,2,2,5,True,True,False,0.6904627990029388,1.8818837931663595,0.2222222222222222,12.0,0.47611511377957494,True,True,False,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
28,Biotin,O=C(O)CCCCC1SCC2NC(=O)NC21,0.7968000000000001,244.088163372,78.43,3,3,5,True,True,True,0.49347811519219625,3.644354617187049,0.8,26.888888888888893,0.0209199007456375,False,True,True,False,Accepted,['-'],['-'],Rejected,"[((7, 8, 9),)]",['CSC'],Accepted,['-'],['-'],Accepted,['-'],['-']
29,Choline,C[N+](C)(C)CCO,-0.3150999999999999,104.10699048808999,20.23,1,1,5,True,True,False,0.47618393148924254,3.0037783376553016,1.0,0.0,1.4442915154327431,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
30,Lysine,NCCCC[C@H](N)C(=O)O,-0.4726999999999995,146.105527688,89.34,3,3,5,True,True,False,0.45717715849655716,2.473668295583039,0.8333333333333334,2.0,1.4544892346783602,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
31,Arginine,N=C(N)NCCC[C@H](N)C(=O)O,-1.338429999999999,174.111675688,125.22000000000001,3,5,5,True,True,False,0.2002751368104355,2.7741781310865026,0.6666666666666666,3.0,1.021100457274967,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-'],Accepted,['-'],['-']
32,Ascorbic acid,O=C1C(O)=C(O)OC1C(O)CO,-1.4074,176.032087976,107.22000000000001,6,4,5,True,True,False,0.41156784097894694,4.105732777620174,0.5,17.77777777777778,1.5299263330590172,False,True,True,False,Accepted,['-'],['-'],Rejected,"[((4, 2, 1, 0, 7),)]",['C=CC(=O)C'],Accepted,['-'],['-'],Accepted,['-'],['-']
33,Spermine,NCCCNCCCCNCCCN,-0.35659999999999775,202.21574683199998,76.1,4,4,5,True,True,True,0.3452806057714905,2.1785312203549463,1.0,0.0,0.08557312472527857,False,True,True,False,Accepted,['-'],['-'],Accepted,['-'],['-'],Rejected,"[((0, 4, 9, 13),)]",['gte_4_basic_N'],Accepted,['-'],['-']
