,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,5.785711086542273e-06,0.031460186361739355,0.09080278919753623,1.0,0.0005296862038743778,0.030868413675220942,0.12927402631407853,0.7359732422837646,0.028650155699199473,0.11828561158650248,1.0,0.5848939383171151,1.0,0.014850408463242062,1.0
Cats2d,5.785711086542273e-06,1.0,0.011112820210318222,0.00013314667943812854,2.7712845632390736e-05,0.05184059367916107,0.00040542795743438197,5.328955178291792e-05,5.948390753971336e-05,0.01762431164184906,0.020805086286569133,0.00011142895332385149,1.0655192263080375e-05,1.5638975384115178e-06,0.00013314667943812854,6.123424493294779e-05
ECFP2,0.031460186361739355,0.011112820210318222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028061111330742315,1.0,1.0
ECFP4,0.09080278919753623,0.00013314667943812854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14230007131282202,1.0,1.0
ECFP6,1.0,2.7712845632390736e-05,1.0,1.0,1.0,0.13494048574650663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MACCs,0.0005296862038743778,0.05184059367916107,1.0,1.0,0.13494048574650663,1.0,1.0,0.8270128499661679,0.13494048574650663,1.0,1.0,0.29034992383077013,0.10511543133950663,0.00040542795743438197,1.0,0.08709190593341012
Map4,0.030868413675220942,0.00040542795743438197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0456485089482065,1.0,1.0
Mol2vec,0.12927402631407853,5.328955178291792e-05,1.0,1.0,1.0,0.8270128499661679,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20943320567173362,1.0,1.0
Mordred,0.7359732422837646,5.948390753971336e-05,1.0,1.0,1.0,0.13494048574650663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9561505437549744,1.0,1.0
Ph4,0.028650155699199473,0.01762431164184906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03298023823957479,1.0,1.0
Pubchem,0.11828561158650248,0.020805086286569133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06919710328329894,1.0,1.0
RDK5,1.0,0.00011142895332385149,1.0,1.0,1.0,0.29034992383077013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RDK6,0.5848939383171151,1.0655192263080375e-05,1.0,1.0,1.0,0.10511543133950663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8704430258387693,1.0,1.0
RDK7,1.0,1.5638975384115178e-06,0.028061111330742315,0.14230007131282202,1.0,0.00040542795743438197,0.0456485089482065,0.20943320567173362,0.9561505437549744,0.03298023823957479,0.06919710328329894,1.0,0.8704430258387693,1.0,0.022495269837512336,1.0
RDKdes,0.014850408463242062,0.00013314667943812854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022495269837512336,1.0,1.0
Secfp,1.0,6.123424493294779e-05,1.0,1.0,1.0,0.08709190593341012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
