,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,5.177428006573982e-45,6.547152211752812e-10,5.688299479376769e-10,1.554406358914031e-05,1.0128459081796319e-25,3.6490323506146073e-09,3.897062402052021e-10,3.991959806497649e-10,2.524245895874497e-11,1.4085568825667688e-16,0.8131972000218376,0.8701446537114792,0.008704784404571501,1.1571452678555728e-09,0.020761360029478166
Cats2d,5.177428006573982e-45,1.0,3.015875543575178e-37,5.76338335391013e-37,5.226026442429969e-41,4.825045614413372e-22,3.2915622777664363e-40,6.57849765455464e-41,4.69914748198036e-41,2.0117423845673003e-34,1.2238883384806603e-27,9.966368756613691e-45,1.0845606458987698e-43,1.2998095926312953e-47,1.0998548375819053e-40,1.2876339428307118e-43
ECFP2,6.547152211752812e-10,3.015875543575178e-37,1.0,1.0,0.013630854454655143,1.4591232094182337e-06,0.24128736847074456,1.0,0.8701446537114792,1.0,0.20816449519327912,1.4173559883100154e-07,3.365868392631007e-08,5.8948518560037025e-24,1.0,0.00013657343712403206
ECFP4,5.688299479376769e-10,5.76338335391013e-37,1.0,1.0,0.8710602954491742,3.46005868039297e-12,1.0,1.0,1.0,1.0,0.000324513696089392,0.0005632252973355659,2.7703476948532113e-05,4.632195589484987e-18,1.0,0.021793045348787957
ECFP6,1.554406358914031e-05,5.226026442429969e-41,0.013630854454655143,0.8710602954491742,1.0,9.524433954004857e-16,1.0,0.04260766647411267,1.0,0.007833133058014639,2.461457982253899e-06,0.23491191921650703,0.1087578943714584,3.320083481258971e-14,0.09809778971999798,0.34909996814666533
MACCs,1.0128459081796319e-25,4.825045614413372e-22,1.4591232094182337e-06,3.46005868039297e-12,9.524433954004857e-16,1.0,1.2525362278534623e-10,1.41301333373271e-06,1.988873643793813e-10,7.175907691137605e-05,1.0,2.3603309687522006e-21,6.478744051023563e-23,1.2844045787620555e-36,2.5528096096335627e-08,1.111796677140125e-18
Map4,3.6490323506146073e-09,3.2915622777664363e-40,0.24128736847074456,1.0,1.0,1.2525362278534623e-10,1.0,1.0,1.0,0.7196683516420895,0.000295323101209396,0.00284124309080536,4.216995543274733e-08,4.462882495381519e-21,1.0,0.4634377455592092
Mol2vec,3.897062402052021e-10,6.57849765455464e-41,1.0,1.0,0.04260766647411267,1.41301333373271e-06,1.0,1.0,1.0,1.0,0.0014690694918628043,3.432260976726341e-05,1.3064032105684804e-08,4.5208000981227155e-24,1.0,8.441341177254018e-05
Mordred,3.991959806497649e-10,4.69914748198036e-41,0.8701446537114792,1.0,1.0,1.988873643793813e-10,1.0,1.0,1.0,0.21862913051275593,9.691954062620559e-08,0.007327669441068801,4.075987731622822e-07,1.705392734094642e-17,1.0,0.1586859284968557
Ph4,2.524245895874497e-11,2.0117423845673003e-34,1.0,1.0,0.007833133058014639,7.175907691137605e-05,0.7196683516420895,1.0,0.21862913051275593,1.0,0.018907470302541824,7.257525094197263e-09,1.6122947204538286e-13,2.850304757194181e-23,1.0,0.0007512854593795376
Pubchem,1.4085568825667688e-16,1.2238883384806603e-27,0.20816449519327912,0.000324513696089392,2.461457982253899e-06,1.0,0.000295323101209396,0.0014690694918628043,9.691954062620559e-08,0.018907470302541824,1.0,8.54301050923328e-11,5.79316330787778e-16,5.881587242846655e-26,0.040132917213763525,5.688299479376769e-10
RDK5,0.8131972000218376,9.966368756613691e-45,1.4173559883100154e-07,0.0005632252973355659,0.23491191921650703,2.3603309687522006e-21,0.00284124309080536,3.432260976726341e-05,0.007327669441068801,7.257525094197263e-09,8.54301050923328e-11,1.0,1.0,1.4523812790762994e-10,1.4040918163006482e-06,1.0
RDK6,0.8701446537114792,1.0845606458987698e-43,3.365868392631007e-08,2.7703476948532113e-05,0.1087578943714584,6.478744051023563e-23,4.216995543274733e-08,1.3064032105684804e-08,4.075987731622822e-07,1.6122947204538286e-13,5.79316330787778e-16,1.0,1.0,9.285179417096077e-08,6.545942666330477e-08,0.4634377455592092
RDK7,0.008704784404571501,1.2998095926312953e-47,5.8948518560037025e-24,4.632195589484987e-18,3.320083481258971e-14,1.2844045787620555e-36,4.462882495381519e-21,4.5208000981227155e-24,1.705392734094642e-17,2.850304757194181e-23,5.881587242846655e-26,1.4523812790762994e-10,9.285179417096077e-08,1.0,2.2983083994955976e-28,9.984749354945818e-15
RDKdes,1.1571452678555728e-09,1.0998548375819053e-40,1.0,1.0,0.09809778971999798,2.5528096096335627e-08,1.0,1.0,1.0,1.0,0.040132917213763525,1.4040918163006482e-06,6.545942666330477e-08,2.2983083994955976e-28,1.0,0.0002559176753910571
Secfp,0.020761360029478166,1.2876339428307118e-43,0.00013657343712403206,0.021793045348787957,0.34909996814666533,1.111796677140125e-18,0.4634377455592092,8.441341177254018e-05,0.1586859284968557,0.0007512854593795376,5.688299479376769e-10,1.0,0.4634377455592092,9.984749354945818e-15,0.0002559176753910571,1.0
