,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,3.1031668186187744e-06,0.19191729836165905,1.0,1.0,0.011218173185362723,0.26003412529826164,0.779574419321961,1.0,0.07978975772857666,0.2777911014854908,1.0,1.0,1.0,0.11201399378478527,1.0
Cats2d,3.1031668186187744e-06,1.0,0.01980302855372429,0.004255473613739014,0.00022500194609165192,0.48445019870996475,0.00036278367042541504,0.00013709068298339844,0.00013709068298339844,0.0355306901037693,0.018009129911661148,6.690435111522675e-05,3.7144869565963745e-05,1.564621925354004e-06,0.0008793920278549194,6.690435111522675e-05
ECFP2,0.19191729836165905,0.01980302855372429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02945941686630249,1.0,1.0
ECFP4,1.0,0.004255473613739014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3991174176335335,1.0,1.0
ECFP6,1.0,0.00022500194609165192,1.0,1.0,1.0,0.062057700008153915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MACCs,0.011218173185362723,0.48445019870996475,1.0,1.0,0.062057700008153915,1.0,1.0,0.9494571760296822,0.7084392439574003,1.0,1.0,0.7486698403954506,0.13003853522241116,0.0005710534751415253,1.0,0.3991174176335335
Map4,0.26003412529826164,0.00036278367042541504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13003853522241116,1.0,1.0
Mol2vec,0.779574419321961,0.00013709068298339844,1.0,1.0,1.0,0.9494571760296822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.669868066906929,1.0,1.0
Mordred,1.0,0.00013709068298339844,1.0,1.0,1.0,0.7084392439574003,1.0,1.0,1.0,0.5513542871922255,1.0,1.0,1.0,1.0,1.0,1.0
Ph4,0.07978975772857666,0.0355306901037693,1.0,1.0,1.0,1.0,1.0,1.0,0.5513542871922255,1.0,1.0,1.0,1.0,0.062057700008153915,1.0,1.0
Pubchem,0.2777911014854908,0.018009129911661148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12074622884392738,1.0,1.0
RDK5,1.0,6.690435111522675e-05,1.0,1.0,1.0,0.7486698403954506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RDK6,1.0,3.7144869565963745e-05,1.0,1.0,1.0,0.13003853522241116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RDK7,1.0,1.564621925354004e-06,0.02945941686630249,0.3991174176335335,1.0,0.0005710534751415253,0.13003853522241116,0.669868066906929,1.0,0.062057700008153915,0.12074622884392738,1.0,1.0,1.0,0.014483607055776658,1.0
RDKdes,0.11201399378478527,0.0008793920278549194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014483607055776658,1.0,1.0
Secfp,1.0,6.690435111522675e-05,1.0,1.0,1.0,0.3991174176335335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
