ML,pChEMBL Value
0.035119575,0.0
0.019211479,0.0
0.107846744,0.0
0.007890487,0.0
0.9773343,1.0
0.14537565,
0.0044990676,0.0
0.06715103,
0.57585967,0.0
0.00556354,0.0
0.9505046,1.0
0.030146064,0.0
0.0024814175,1.0
0.019872993,0.0
0.014999919,0.0
0.0051832423,0.0
0.88459796,0.0
0.018312437,
0.43694216,0.0
0.005631392,
0.8988927,1.0
0.008145355,0.0
0.06155307,0.0
0.053553678,0.0
0.9945738,1.0
0.0050857426,0.0
0.023935897,0.0
0.00710775,
0.27890536,0.0
0.00681979,1.0
0.71999943,0.0
0.017045757,0.0
0.0021699073,0.0
0.0009511617,0.0
0.9871486,0.0
0.0024146596,1.0
0.02319013,0.0
0.15218882,0.0
0.06124306,0.0
0.009415471,1.0
0.0050538327,0.0
0.010107433,0.0
0.0045164935,0.0
0.029816044,0.0
0.008757206,0.0
0.0020408547,0.0
0.007510851,0.0
0.00927904,0.0
0.012440664,0.0
0.04506182,0.0
0.026139906,0.0
0.55224645,0.0
0.0007604463,0.0
0.020635583,0.0
0.17907663,0.0
0.19424984,0.0
0.0072397655,0.0
0.012726542,0.0
0.012598531,
0.5346492,0.0
0.95158046,0.0
0.5965979,
0.84566486,0.0
0.007162412,0.0
0.9596829,0.0
0.09166545,0.0
0.9264185,0.0
0.0101171415,1.0
0.9567339,
0.98566276,0.0
0.98524183,1.0
0.0006182495,0.0
0.0074880547,1.0
0.014039568,0.0
0.030197484,1.0
0.00074123393,0.0
0.023485895,1.0
0.025280453,1.0
0.06399997,1.0
0.010889085,0.0
0.014181542,0.0
0.9803067,0.0
0.99671197,0.0
0.08360062,0.0
0.016830366,0.0
0.97019863,0.0
0.32059866,0.0
0.99100935,0.0
0.9578676,0.0
0.008366255,1.0
0.00666841,1.0
0.0076299966,0.0
0.9908717,0.0
0.0127271535,1.0
0.029299106,0.0
0.9650562,
0.001989773,1.0
0.011785421,1.0
0.97712654,0.0
0.45379376,0.0
0.79046416,0.0
0.19023882,1.0
0.39710346,0.0
0.0035737117,0.0
0.015920043,1.0
0.8132719,0.0
0.8907756,0.0
0.00203515,1.0
0.9949818,0.0
0.002832919,1.0
0.04313875,0.0
0.029948879,0.0
0.9870367,0.0
0.39550608,0.0
0.6862829,1.0
0.98638994,1.0
0.87771845,0.0
0.015886914,1.0
0.008837739,0.0
0.3344207,0.0
0.91096765,0.0
0.9135319,1.0
0.99393445,0.0
0.029465863,
0.05254168,1.0
0.08139063,1.0
0.7108493,1.0
0.07209773,
0.008108758,0.0
0.0077279364,0.0
0.021328893,0.0
0.0051784427,1.0
0.004958785,1.0
0.6176889,1.0
0.0019697207,0.0
0.004793413,0.0
0.037463002,0.0
0.020217527,1.0
0.0058232383,0.0
0.0850287,0.0
0.012874598,0.0
0.33864272,0.0
0.9786468,0.0
0.20178226,0.0
0.9614606,0.0
0.19023882,0.0
0.5701072,0.0
0.008635805,0.0
0.99371207,0.0
0.007361748,
0.025133798,0.0
0.15530333,0.0
0.27774587,0.0
0.021202784,1.0
0.9474639,
0.9364326,1.0
0.0017322757,0.0
0.015480076,1.0
0.004965618,1.0
0.002285398,0.0
0.9956524,0.0
0.11132519,1.0
0.09641104,0.0
0.09993862,0.0
0.8901347,0.0
0.98614776,0.0
0.16398813,0.0
0.020593455,1.0
0.033365432,1.0
0.005915363,0.0
0.051281326,0.0
0.9779809,0.0
0.0030411892,0.0
0.12168229,1.0
0.85163015,0.0
0.09923396,0.0
0.05630731,0.0
0.009832173,1.0
0.8262731,1.0
0.12297127,0.0
0.015053937,0.0
0.059871294,0.0
0.08939368,0.0
0.008604766,0.0
0.9801822,1.0
0.9719953,0.0
0.032361455,0.0
0.0732617,1.0
0.991968,0.0
0.00097626436,0.0
0.868525,0.0
0.93268335,1.0
0.46570742,0.0
0.03370735,0.0
0.003594154,0.0
0.017395826,
0.95378536,0.0
0.016680283,0.0
0.007328406,1.0
0.010484109,1.0
0.04224433,0.0
0.003709559,0.0
0.0030451398,
0.6609911,1.0
0.8737465,0.0
0.07854944,1.0
0.79804146,1.0
0.0090550585,1.0
0.953515,0.0
0.88963646,0.0
0.0164316,0.0
0.005782066,
0.98438185,1.0
0.005711816,0.0
0.6725966,0.0
0.0070492513,0.0
0.4198299,
0.002832919,0.0
0.42262474,0.0
0.053557258,0.0
0.4733254,1.0
0.0047109653,1.0
0.013156062,0.0
0.058533203,1.0
0.95041704,
0.8422954,0.0
0.0035998316,
0.010068562,1.0
0.001935076,1.0
0.99051005,0.0
0.0024814175,0.0
0.0042357952,1.0
0.074328884,0.0
0.024675658,1.0
0.017813873,0.0
0.22631215,0.0
0.08606669,0.0
0.05338782,1.0
0.0006453954,0.0
0.012388224,0.0
0.9820233,0.0
0.00992022,0.0
0.9874443,0.0
0.010871903,1.0
0.9342481,1.0
0.14217266,0.0
0.007027387,0.0
0.05556076,0.0
0.8116437,1.0
0.95343447,0.0
0.84109044,0.0
0.842869,0.0
0.011261257,0.0
0.016257674,0.0
0.027811412,0.0
0.9595385,0.0
0.2182203,
0.027904764,0.0
0.9916453,0.0
0.021720853,0.0
0.0077282037,1.0
0.20567851,0.0
0.0041671586,1.0
0.004059349,0.0
0.9404014,1.0
0.67527413,0.0
0.0029759083,0.0
0.8967774,0.0
0.017259156,1.0
0.0068007098,1.0
0.0050901137,1.0
0.023610378,1.0
0.010860443,0.0
0.17454694,0.0
0.14715342,0.0
0.02683926,1.0
0.89732486,0.0
0.21079451,0.0
0.022952061,1.0
0.012748542,0.0
0.011260529,0.0
0.83798903,0.0
0.005707141,0.0
0.018002257,0.0
0.050407175,1.0
0.03025667,1.0
0.5895757,0.0
0.012898981,1.0
0.8824226,0.0
0.97477496,0.0
0.24780826,
0.007841248,0.0
0.9949818,0.0
0.05320287,0.0
0.004107432,0.0
0.120257184,0.0
0.6163843,0.0
0.9943668,1.0
0.98880565,0.0
0.0014333082,0.0
0.008544828,0.0
0.016459674,0.0
0.011533068,1.0
0.040558852,0.0
0.14638922,0.0
0.010034855,
0.013854205,0.0
0.0015307276,0.0
0.0046371976,
0.9883922,1.0
0.04564363,0.0
0.005707141,1.0
0.98896015,1.0
0.002075725,0.0
0.26161647,0.0
0.049094837,1.0
0.7932631,0.0
0.95619786,0.0
0.84732115,0.0
0.018910661,0.0
0.04180791,1.0
0.9845389,1.0
0.93859285,0.0
0.9493896,0.0
0.7954303,0.0
0.18221551,0.0
0.9957278,
0.02335122,
0.048694395,0.0
0.86574507,0.0
0.01042394,0.0
0.071197174,0.0
0.0006849249,0.0
0.0018386233,0.0
0.17496866,1.0
0.9945392,0.0
0.009625476,
0.29379034,0.0
0.0064185015,1.0
0.9722358,0.0
0.0028094316,0.0
0.24933408,
0.013439321,0.0
0.012538873,1.0
0.77389866,1.0
0.012918819,1.0
0.021618161,0.0
0.009791705,0.0
0.0018237656,1.0
0.020384869,1.0
0.49825817,1.0
0.003956247,0.0
0.8159261,
0.05394046,0.0
0.0056829504,1.0
0.45831493,0.0
0.9949818,0.0
0.099628046,1.0
0.91411364,0.0
0.016326506,0.0
0.98841965,0.0
0.009698996,0.0
0.98464996,0.0
0.0008563395,1.0
0.041345626,0.0
0.013206009,0.0
0.9823397,0.0
0.14487562,1.0
0.0036814986,0.0
0.026917249,0.0
0.11316563,0.0
0.98543453,0.0
0.029948879,1.0
0.005972662,0.0
0.026139906,0.0
0.008140379,0.0
0.0065836185,0.0
0.37308702,0.0
0.97876453,
0.07793759,0.0
0.97992975,0.0
0.017080203,1.0
0.9956524,0.0
0.9890316,0.0
0.011408929,0.0
0.0015922459,1.0
0.9908993,0.0
0.008656371,
0.006164591,1.0
0.01352153,0.0
0.8988927,1.0
0.9898371,0.0
0.9872131,1.0
0.9788053,0.0
0.08418526,0.0
0.06074665,
0.0063393847,0.0
0.99051005,1.0
0.004986257,0.0
0.9178384,0.0
0.060648013,
0.0055546057,0.0
0.97765994,0.0
0.0050013284,1.0
0.0179635,0.0
0.97511727,0.0
0.9557567,0.0
0.99544674,0.0
0.019618286,0.0
0.8312044,0.0
0.01498817,1.0
0.9673871,0.0
0.9606347,1.0
0.25814357,0.0
0.01301932,1.0
0.15406346,1.0
0.00066004193,0.0
0.004673757,0.0
0.9894077,1.0
0.01308103,0.0
0.003396927,0.0
0.005242113,0.0
0.0008085593,1.0
0.00814034,1.0
0.19023882,
0.025758179,1.0
0.008910933,1.0
0.14410831,0.0
0.759162,0.0
0.99354,
0.754761,0.0
0.031087687,1.0
0.9629823,0.0
0.9178834,1.0
0.0038603165,0.0
0.9945738,0.0
0.7931475,1.0
0.61935014,0.0
0.008150067,0.0
0.019093435,1.0
0.001889366,
0.026381226,1.0
0.881235,1.0
0.08121229,0.0
0.0035631896,1.0
0.17126927,0.0
0.9045715,1.0
0.0029415872,1.0
0.00571488,0.0
0.109502874,0.0
0.0034837883,0.0
0.01025389,0.0
0.98645,0.0
0.96436965,1.0
0.06399997,0.0
0.54886776,0.0
0.018081633,0.0
0.0192667,0.0
0.003650455,0.0
0.006052824,0.0
0.06757948,0.0
0.13237257,0.0
0.27415615,0.0
0.0051776366,1.0
0.783535,1.0
0.06500756,1.0
0.0045363535,0.0
0.1415684,1.0
0.8050788,1.0
0.005959916,0.0
0.9828289,1.0
0.9912158,1.0
0.008259411,1.0
0.002651638,0.0
0.007240725,0.0
0.0045902785,0.0
0.01420191,0.0
0.005299288,1.0
0.025228785,0.0
0.9948185,0.0
0.005841063,0.0
0.018706929,1.0
0.024691895,0.0
0.017943459,0.0
0.005016092,0.0
0.0049668173,0.0
0.036312427,0.0
0.9160047,1.0
0.0071254387,1.0
0.031203857,0.0
0.42466807,0.0
0.0072369594,0.0
0.9612682,0.0
0.0043043103,0.0
0.04200249,0.0
0.0043587717,0.0
0.0660955,0.0
0.013802632,0.0
0.98460174,0.0
0.0031230384,1.0
0.021876909,0.0
0.0040076734,0.0
0.00468429,0.0
0.36356065,1.0
0.0117341615,0.0
0.0028442414,1.0
0.005317764,1.0
0.98720956,0.0
0.9792905,0.0
0.004214385,0.0
0.9870907,0.0
0.1323079,0.0
0.0082156705,0.0
0.7237856,0.0
0.8367624,1.0
0.027873468,0.0
0.820686,0.0
0.2769265,0.0
0.0031237986,0.0
0.006073514,0.0
0.006141002,0.0
0.03559281,0.0
0.01003864,1.0
0.0015386451,0.0
0.32384595,0.0
0.0041857865,0.0
0.4339926,0.0
0.9945392,1.0
0.7258706,0.0
0.9936179,0.0
0.29495457,0.0
0.33864272,0.0
0.010107433,0.0
0.0026913353,1.0
0.9058791,0.0
0.018316893,0.0
0.7258706,0.0
0.0045723403,0.0
0.9263135,0.0
0.63260394,0.0
0.9565776,0.0
0.0674864,0.0
0.99544674,1.0
0.0023297966,1.0
0.7463419,0.0
0.047798596,1.0
0.0017804158,0.0
0.0039162557,0.0
0.0010577983,0.0
0.9733296,1.0
0.17374882,0.0
0.78031707,1.0
0.014525494,0.0
0.15357909,0.0
0.7096936,0.0
0.20781834,0.0
0.9912902,0.0
0.881235,0.0
0.9866301,0.0
0.01220266,0.0
0.002283218,0.0
0.32286683,1.0
0.006414589,1.0
0.009536218,1.0
0.03976151,1.0
0.8789463,0.0
0.004706471,0.0
0.006726072,0.0
0.69567966,0.0
0.93101466,1.0
0.0014592988,0.0
0.90230036,
0.005365245,0.0
0.50847465,0.0
0.9749894,1.0
0.008362447,0.0
0.94259584,1.0
0.00634811,0.0
0.042266414,1.0
0.007683804,0.0
0.9912014,1.0
0.009335495,0.0
0.95685136,0.0
0.006817759,0.0
0.12778634,0.0
0.0028657536,1.0
0.039273214,0.0
0.81593263,1.0
0.0090986295,0.0
0.0025926372,0.0
0.8439413,1.0
0.014460004,0.0
0.035829563,1.0
0.09869195,1.0
0.8440049,
0.01197458,1.0
0.003355473,0.0
0.042291187,0.0
0.993982,0.0
0.28667036,
0.041554824,0.0
0.8642005,0.0
0.04264727,0.0
0.76859736,1.0
0.022793537,0.0
0.973076,0.0
0.011425343,1.0
0.99293023,1.0
0.007327542,0.0
0.8104067,1.0
0.991776,0.0
0.8459163,0.0
0.027789123,
0.010484109,1.0
0.004670781,0.0
0.007340877,1.0
0.0059477445,0.0
0.0045902785,0.0
0.0056151436,0.0
0.048155665,1.0
0.1624273,0.0
0.760268,1.0
0.5397411,
0.059715595,0.0
0.899798,0.0
0.80206287,0.0
0.9912902,0.0
0.9650562,1.0
0.17056245,0.0
0.009027656,0.0
0.97236586,0.0
0.018857848,0.0
0.86574507,0.0
0.9879346,0.0
0.0068513593,1.0
0.033749506,0.0
0.025863718,0.0
0.035782002,0.0
0.11550662,1.0
0.9898371,0.0
0.79726917,0.0
0.028106838,1.0
0.039418258,0.0
0.6580194,0.0
0.97370625,0.0
0.010347812,1.0
0.0020873207,0.0
0.028240308,1.0
0.0028442414,0.0
0.02410825,1.0
0.0080982875,1.0
0.0011378423,1.0
0.0043587717,0.0
0.9396809,0.0
0.14211127,0.0
0.009906993,0.0
0.0021700023,0.0
0.91001457,0.0
0.657997,0.0
0.0006969948,0.0
0.009003407,0.0
0.0004120403,1.0
0.013692336,1.0
0.09417691,0.0
0.002994131,1.0
0.015211268,1.0
0.0036330097,1.0
0.022295538,1.0
0.043693572,0.0
0.7487011,0.0
0.9744957,
0.0036194269,
0.84102124,
0.9897871,1.0
0.0038805064,0.0
0.0049104122,1.0
0.015686294,1.0
0.0090550585,0.0
0.01623197,0.0
0.0031460226,0.0
0.36319634,0.0
0.017188273,0.0
0.014542937,1.0
0.0833683,1.0
0.9896075,0.0
0.14774981,0.0
0.008403945,1.0
0.89871454,1.0
0.991968,0.0
0.0037899287,0.0
0.07888347,0.0
0.49096522,0.0
0.015652418,0.0
0.0019209975,0.0
0.12593517,0.0
0.016369263,0.0
0.013907302,1.0
0.12655209,0.0
0.012325984,0.0
0.9274513,0.0
0.033847053,1.0
0.03603808,1.0
0.025133798,
0.016403925,0.0
0.0024814175,0.0
0.003155914,
0.003858687,0.0
0.0030406613,0.0
0.0052988203,0.0
0.11879298,0.0
0.009306833,0.0
0.03815306,0.0
0.0012577203,0.0
0.96752155,
0.0008085593,0.0
0.0022823384,1.0
0.31806695,1.0
0.0007786913,0.0
0.005098645,1.0
0.84427065,1.0
0.23431101,0.0
0.0117633045,
0.0035735809,0.0
0.008804361,0.0
0.71609527,0.0
0.124032855,0.0
0.98279667,0.0
0.00830181,0.0
0.0012035101,0.0
0.32922617,0.0
0.06106861,0.0
0.97769976,1.0
0.28100142,0.0
0.8105429,0.0
